,Assessed Value,Sale Amount,Sales Ratio
mean,279143.66538643197,391151.18354119937,10.446373631672337
min,0.0,0.0,0.0
max,881510000.0,5000000000.0,1226420.0
std,1670609.857624503,5347270.212037065,1890.1917961626823
sum,278365691991.0,390061045192.6698,10417259.58836039
